Ministerstvo spravedlnosti;47933
Ústavní soud České republiky;30781
Nejvyšší soud ČR;45919
Vrchní soud v Praze;46486
Vrchní soud v Olomouci;48205
Nejvyšší správní soud;47165
Městský soud v Praze;47122
Obvodní soud pro Prahu 1;48209
Obvodní soud pro Prahu 2;48210
Obvodní soud pro Prahu 3;48211
Obvodní soud pro Prahu 5;48213
Obvodní soud pro Prahu 7;48215
Krajský soud v Praze;47175
Okresní soud v Mladé Boleslavi;42411
Okresní soud v Kolíně;42402
Okresní soud v Berouně;42412
Okresní soud v Kladně;42413
Okresní soud Praha-Východ;42403
Okresní soud Praha-Západ;42405
Okresní soud v Benešově;42410
Okresní soud v Kutné Hoře;42404
Okresní soud v Nymburce;42401
"Okresní soud v Rakovník	u";42409
Okresní soud v Příbrami;42406
Okresní soud v Mělníku;42407
Krajský soud v Brně;42668
Městský soud v Brně;47314
Okresní soud ve Vyškově;48343
Okresní soud v Hodoníně;48336
Okresní soud ve Zlíně;48287
Okresní soud v Jihlavě;48338
Okresní soud v Kroměříži;48339
Okresní soud v Blansku;48536
Okresní soud Brno-venkov;43944
Okresní soud v Břeclavi;48335
Okresní soud v Prostějově;43835
Okresní soud v Uherském Hradišti;48342
Okresní soud ve Znojmě;48344
Okresní soud v Třebíči;48341
Krajský soud v Českých Budějovicích;48203
Krajský soud v Českých Budějovicích - pobočka v Táboře;48317
Okresní soud v Českých Budějovicích;48308
Okresní soud v Písku;48313
Okresní soud v Prachaticích;42108
Krajský soud v Hradci Králové;42952
Krajský soud v Hradci Králové - pobočka v Pardubicích;48537
Okresní soud v Rychnově nad Kněžnou;48359
Okresní soud v Jičíně;48356
Okresní soud v Hradci Králové;48353
Okresní soud v Havlíčkově Brodě;48354
Okresní soud v Chrudimi;48355
Okresní soud v Pardubicích;48358
Okresní soud v Semilech;48360
Okresní soud ve Svitavách;48361
Okresní soud v Trutnově;48362
Okresní soud v Ústí nad Orlicí;29646
Okresní soud v Náchodě;45790
Krajský soud v Ostravě;42122
Krajský soud v Ostravě - pobočka v Olomouci;44469
Okresní soud v Šumperku;48237
Okresní soud v Ostravě;42737
Okresní soud v Bruntále;48228
Okresní soud v Bruntále – pobočka v Krnově;48259
Okresní soud v Jeseníku;48230
Okresní soud v Karviné;48231
Okresní soud v Karviné - pobočka v Havířově;48232
Okresní soud v Novém Jičíně;48233
Okresní soud v Olomouci;48234
Okresní soud v Opavě;48235
Okresní soud v Přerově;48236
Okresní soud ve Vsetíně;48239
Okresní soud ve Vsetíně - pobočka ve Valašském Meziříčí;48238
Okresní soud ve Frýdku - Místku;48229
Krajský soud v Plzni;42782
Okresní soud Plzeň - město;48346
Okresní soud v Domažlicích;48348
Okresní soud v Tachově;42847
Okresní soud Plzeň - jih;48345
Okresní soud Plzeň - sever;48347
Okresní soud v Chebu;42809
Okresní soud v Rokycanech;48351
Okresní soud v Klatovech;48350
Krajský soud v Ústí nad Labem - pobočka v Liberci;42811
Okresní soud v Liberci;48323
Okresní soud v České Lípě;48319
Okresní soud v Děčíně;48320
Okresní soud v Chomutově - trestní oddělení;48321
Okresní soud v Lounech;48325
Okresní soud v Ústí nad Labem;48318
Okresní soud v Jablonci nad Nisou;42522
Okresní soud v Litoměřicích;48324
Okresní soud v Mostě;48327
Okresní soud v Teplicích;48328
Nejvyšší státní zastupitelství;48208
Vrchní státní zastupitelství Praha;48363
Vrchní státní zastupitelství Olomouc;48364
Městské státní zastupitelství v Praze;48365
Krajské státní zastupitelství v Brně;48207
Krajské státní zastupitelství v Českých Budějovicích;48206
Krajské státní zastupitelství v Českých Budějovicích - pobočka v Táboře;48397
Okresní státní zastupitelství v Písku;48393
Okresní státní zastupitelství ve Strakonicích;48395
Okresní státní zastupitelství v Prachaticích;48394
Okresní státní zastupitelství v Pelhřimově;48392
Okresní státní zastupitelství v Jindřichově Hradci;48391
Okresní státní zastupitelství v Českém Krumlově;48390
Krajské státní zastupitelství v Hradci Králové;48425
Okresní státní zastupitelství v Havlíčkově Brodě;48427
Okresní státní zastupitelství v Chrudimi;48428
Okresní státní zastupitelství v Jičíně;48429
Okresní státní zastupitelství v Náchodě;48430
Okresní státní zastupitelství v Pardubicích;48431
Okresní státní zastupitelství v Rychnově nad Kněžnou;48432
Okresní státní zastupitelství v Semilech;48433
Okresní státní zastupitelství ve Svitavách;48434
Okresní státní zastupitelství v Trutnově;48435
Okresní státní zastupitelství v Ústí nad Orlicí;48436
Okresní státní zastupitelství v Hradci Králové;48426
Krajské státní zastupitelství v Ostravě;48091
Okresní státní zastupitelství ve Frýdku-Místku;48015
Okresní státní zastupitelství v Karviné;48016
Okresní státní zastupitelství v Karviné - pobočka v Havířově;48017
Okresní státní zastupitelství v Bruntále;48437
Okresní státní zastupitelství v Jeseníku;48438
Okresní státní zastupitelství v Opavě;48441
Okresní státní zastupitelství v Ostravě;48442
Krajské státní zastupitelství v Plzni;48018
Okresní státní zastupitelství v Domažlicích;48218
Okresní státní zastupitelství v Klatovech;48219
Okresní státní zastupitelství v Chebu;48226
Okresní státní zastupitelství Plzeň-jih;48224
Okresní státní zastupitelství Plzeň-město;48222
Okresní státní zastupitelství v Rokycanech;48220
Okresní státní zastupitelství v Tachově;48221
Krajské státní zastupitelství v Praze;48376
Okresní státní zastupitelství v Příbrami;48387
