ID,Name,Lic_Date
47933,Ministerstvo spravedlnosti,31.12.2020
45919,Nejvyšší soud ČR,31.05.2022
46486,Vrchní soud v Praze,31.05.2020
48205,Vrchní soud v Olomouci,31.05.2022
47165,Nejvyšší správní soud,AT20200622
47122,Městský soud v Praze,31.05.2020
48210,Obvodní soud pro Prahu 2,31.05.2022
47175,Krajský soud v Praze,31.05.2022
42411,Okresní soud v Mladé Boleslavi,31.05.2022
42402,Okresní soud v Kolíně,AT20200622
42412,Okresní soud v Berouně,AT20200621
42413,Okresní soud v Kladně,31.05.2022
42403,Okresní soud Praha-Východ,31.05.2022
42405,Okresní soud Praha-Západ,AT20200623
42410,Okresní soud v Benešově,31.05.2022
42404,Okresní soud v Kutné Hoře,31.05.2022
42401,Okresní soud v Nymburce,AT20200623
42409,"""Okresní soud v Rakovník	u""",AT20200623
42407,Okresní soud v Mělníku,31.05.2022
42668,Krajský soud v Brně,31.05.2020
48343,Okresní soud ve Vyškově,31.05.2020
48336,Okresní soud v Hodoníně,31.05.2022
48287,Okresní soud ve Zlíně,31.05.2022
48338,Okresní soud v Jihlavě,31.05.2022
48339,Okresní soud v Kroměříži,31.05.2022
48536,Okresní soud v Blansku,APPCDXJV
43944,Okresní soud Brno-venkov,31.05.2022
48335,Okresní soud v Břeclavi,31.05.2022
43835,Okresní soud v Prostějově,31.05.2022
48342,Okresní soud v Uherském Hradišti,31.05.2022
48341,Okresní soud v Třebíči,31.05.2020
48203,Krajský soud v Českých Budějovicích,31.05.2020
48308,Okresní soud v Českých Budějovicích,31.05.2022
48313,Okresní soud v Písku,01.08.2020
42952,Krajský soud v Hradci Králové,31.05.2022
48537,Krajský soud v Hradci Králové - pobočka v Pardubicích,31.05.2022
48359,Okresní soud v Rychnově nad Kněžnou,31.05.2022
48356,Okresní soud v Jičíně,31.05.2022
48353,Okresní soud v Hradci Králové,31.05.2022
48354,Okresní soud v Havlíčkově Brodě,01.08.2020
48355,Okresní soud v Chrudimi,31.05.2022
48360,Okresní soud v Semilech,31.05.2022
48361,Okresní soud ve Svitavách,31.05.2022
48362,Okresní soud v Trutnově,31.05.2022
29646,Okresní soud v Ústí nad Orlicí,31.05.2022
42122,Krajský soud v Ostravě,31.05.2022
44469,Krajský soud v Ostravě - pobočka v Olomouci,01.08.2020
48237,Okresní soud v Šumperku,31.05.2022
42737,Okresní soud v Ostravě,31.05.2022
48228,Okresní soud v Bruntále,31.05.2022
48259,Okresní soud v Bruntále – pobočka v Krnově,31.05.2020
48230,Okresní soud v Jeseníku,31.05.2022
48231,Okresní soud v Karviné,31.05.2022
48232,Okresní soud v Karviné - pobočka v Havířově,31.05.2022
48233,Okresní soud v Novém Jičíně,31.05.2022
48234,Okresní soud v Olomouci,31.05.2022
48235,Okresní soud v Opavě,31.05.2022
48236,Okresní soud v Přerově,31.05.2022
48239,Okresní soud ve Vsetíně,31.05.2022
48238,Okresní soud ve Vsetíně - pobočka ve Valašském Meziříčí,31.05.2022
48229,Okresní soud ve Frýdku - Místku,31.05.2022
42782,Krajský soud v Plzni,31.05.2022
48346,Okresní soud Plzeň - město,31.05.2022
48348,Okresní soud v Domažlicích,31.05.2022
42847,Okresní soud v Tachově,31.05.2022
48345,Okresní soud Plzeň - jih,01.08.2020
48347,Okresní soud Plzeň - sever,01.08.2020
42809,Okresní soud v Chebu,31.05.2020
48351,Okresní soud v Rokycanech,31.05.2022
48350,Okresní soud v Klatovech,31.07.2020
42811,Krajský soud v Ústí nad Labem - pobočka v Liberci,31.05.2022
48323,Okresní soud v Liberci,31.05.2022
48319,Okresní soud v České Lípě,31.05.2020
48320,Okresní soud v Děčíně,01.08.2020
48321,Okresní soud v Chomutově - trestní oddělení,31.05.2022
48318,Okresní soud v Ústí nad Labem,31.05.2020
42522,Okresní soud v Jablonci nad Nisou,31.05.2022
48324,Okresní soud v Litoměřicích,01.08.2020
48328,Okresní soud v Teplicích,31.05.2022
48208,Nejvyšší státní zastupitelství,31.05.2022
48363,Vrchní státní zastupitelství Praha,31.05.2022
48364,Vrchní státní zastupitelství Olomouc,31.05.2022
48207,Krajské státní zastupitelství v Brně,31.05.2022
48206,Krajské státní zastupitelství v Českých Budějovicích,31.05.2022
48397,Krajské státní zastupitelství v Českých Budějovicích - pobočka v Táboře,01.08.2020
48393,Okresní státní zastupitelství v Písku,31.05.2022
48395,Okresní státní zastupitelství ve Strakonicích,31.05.2022
48394,Okresní státní zastupitelství v Prachaticích,01.08.2020
48392,Okresní státní zastupitelství v Pelhřimově,31.05.2022
48391,Okresní státní zastupitelství v Jindřichově Hradci,31.05.2022
48390,Okresní státní zastupitelství v Českém Krumlově,31.05.2022
48425,Krajské státní zastupitelství v Hradci Králové,31.05.2022
48427,Okresní státní zastupitelství v Havlíčkově Brodě,31.05.2022
48428,Okresní státní zastupitelství v Chrudimi,31.05.2022
48429,Okresní státní zastupitelství v Jičíně,31.05.2022
48430,Okresní státní zastupitelství v Náchodě,31.05.2022
48431,Okresní státní zastupitelství v Pardubicích,31.05.2022
48432,Okresní státní zastupitelství v Rychnově nad Kněžnou,31.05.2022
48433,Okresní státní zastupitelství v Semilech,31.05.2022
48434,Okresní státní zastupitelství ve Svitavách,31.05.2022
